parameter,Estimate,Est.Error,Q2.5,Q97.5
"r_tna_trimmed[endocostea.regularis,Intercept]",-0.03865682670525417,2.4957325469576017,-5.411217909676176,4.758918136059286
"r_tna_trimmed[neithea.striatocostata,Intercept]",-0.046241634738666076,2.582237853660924,-5.471081395334986,5.259796404887613
"r_tna_trimmed[propeamussium.inversum,Intercept]",-0.029617539181559075,2.427745935458993,-5.265467933018121,5.058427391081571
"r_tna_trimmed[syncyclonema.haeggi,Intercept]",-0.005228808668550068,2.512052666926451,-5.4086711077165885,5.38036591645009
"r_tna_trimmed[syncyclonema.nilsoni,Intercept]",0.02701213836833192,2.4398351850334308,-5.05017927995207,5.400189986809914
"r_tna_trimmed[syncyclonema.semiplicata,Intercept]",-0.037673170709314766,2.448990571036563,-5.3098795546755815,5.175772062349413
"r_tna_trimmed[hyotissa.semiplana,Intercept]",-0.03526768607422756,2.545620727406443,-5.480469643919455,5.408770525431076
"r_tna_trimmed[buchia.crassicollis,Intercept]",0.023762106524676585,2.4247582968010226,-4.947525907133971,5.31564561385148
"r_tna_trimmed[pseudoptera.coerulescens,Intercept]",0.03446592973997433,2.542160449007565,-5.352494236541476,5.4187070797751025
"r_tna_trimmed[gryphaeostrea.lateralis,Intercept]",-0.005396483824080066,2.544940341045041,-5.232184591329537,5.420654643071575
"r_tna_trimmed[acutostrea.incurva,Intercept]",0.002516848864658356,2.419063252286007,-5.035094916162728,5.132376268454329
"r_tna_trimmed[curvostrea.tevesthensis,Intercept]",0.04167302256716264,2.4809368384957753,-5.018972182908517,5.277933180765773
"r_tna_trimmed[agerostrea.falcata,Intercept]",-0.039399242807608655,2.613801849392116,-5.424295036620554,5.384163722438345
"r_tna_trimmed[modiolus.aequalis,Intercept]",0.030721217484085406,2.4836203476023746,-4.928676510987041,5.396277694128339
"r_tna_trimmed[neithea.quinquecostata,Intercept]",-0.013078087659370827,2.476559795324135,-5.277571033522438,5.131361917759557
"r_tna_trimmed[amphidonte.pliciferum,Intercept]",0.01548715695063438,2.5502281795358015,-5.1668519267009225,5.5717706793163355
"r_tna_trimmed[biradiolites.lameracensis,Intercept]",-0.006874289604703639,2.4096823468906985,-5.2598957252323,5.017157839792521
"r_tna_trimmed[radiolites.spongicola,Intercept]",0.05409592867750989,2.5638802650576427,-5.267452729381199,5.29387044631763
"r_tna_trimmed[trigonarca.angolensis,Intercept]",-0.014641998944380298,2.515618320055889,-5.308326361427947,5.3869770552821254
"r_tna_trimmed[pseudocucullaea.lens,Intercept]",0.01572566864112609,2.441387451981414,-5.103389135116611,5.183149229992497
"r_tna_trimmed[plicatula.ibo,Intercept]",0.05973130797041239,2.504941301148624,-4.820023547777435,5.542733483376793
"r_tna_trimmed[cataceramus.bantu,Intercept]",0.013045040958816013,2.4646696716184815,-5.195821919461232,5.024088314941786
"r_tna_trimmed[veniella.undata,Intercept]",-0.009799236599400445,2.4937916092396395,-5.353858776584059,5.3396288912819045
"r_tna_trimmed[anofia.aro,Intercept]",0.0338276426481656,2.5946444317929225,-5.131126295061362,5.527009515601195
"r_tna_trimmed[cardium.subperobliquum,Intercept]",0.005832683786897061,2.4870235009566213,-5.21329159310565,5.4216302327892025
"r_tna_trimmed[nuculopsis.elongata,Intercept]",-0.011126552746220878,2.4698421744528574,-5.322676500715165,5.135074351784134
"r_tna_trimmed[curvostrea.rouvillei,Intercept]",-0.01598463161438428,2.454733504049507,-5.175621470329796,5.125523667547443
"r_tna_trimmed[crassatella.arcacea,Intercept]",0.02144568536576835,2.5115706388096446,-5.32587899537744,5.637991174075948
"r_tna_trimmed[panopea.regularis,Intercept]",-0.044474193285846335,2.4290433562633074,-5.312488924585775,5.316248706333023
"r_tna_trimmed[pleuromya.elongata,Intercept]",0.011745598328880702,2.4402411052683326,-5.203036372602835,5.227253018622782
"r_tna_trimmed[calva.varians,Intercept]",0.04936798404017972,2.4935038159940808,-5.147046254791588,5.260654858175375
"r_tna_trimmed[panzacorbula.pozo,Intercept]",-0.011581720200752453,2.5660112011810985,-5.386092110321462,5.2466822420112305
"r_tna_trimmed[glycymeris.apletos,Intercept]",-0.01729100530702978,2.576411841169139,-5.4421949677097485,5.471465812776702
"r_tna_trimmed[popenoella.hemphilli,Intercept]",0.01326493023364787,2.5422458472297453,-5.320339258728905,5.26603668098076
"r_tna_trimmed[trinacria.cor,Intercept]",0.011003728334672924,2.4202294775244844,-4.953653805341536,5.125951023348161
"r_tna_trimmed[inoceramus.fibrosus,Intercept]",0.03071152472780835,2.4910628552817724,-5.331931883690032,5.36230550353516
"r_tna_trimmed[nucula.cancellata,Intercept]",-0.028775449921279152,2.590196271624745,-5.381202073895147,4.977529784970299
"r_tna_trimmed[nucula.planimarginata,Intercept]",0.0372273339293083,2.4684044089683645,-5.166064377513161,5.322159705439575
"r_tna_trimmed[pteria.nebrascana,Intercept]",0.026782325514120672,2.5196726651579247,-5.236666789794704,5.315504641945645
"r_tna_trimmed[exogyra.overwegi,Intercept]",0.06639067273329176,2.46643177000109,-5.016672972339908,5.308341367915594
"r_tna_trimmed[panopea.clausa,Intercept]",0.0377045311172228,2.5170122984316956,-4.9748391956201,5.212040252305264
"r_tna_trimmed[nucula.suboblonga,Intercept]",-0.0033225478182487317,2.4616427392306814,-5.485610307294924,5.332877641933057
"r_tna_trimmed[seymourtula.antarctica,Intercept]",-0.029991450192307815,2.5242054266157767,-5.4691822721792756,5.030144054021075
"r_tna_trimmed[conchocele.townsendi,Intercept]",-0.015868346572785158,2.479281562711195,-5.2573484126806,5.007460527441923
"r_tna_trimmed[cubitostrea.tecticosta,Intercept]",-0.00565607277467729,2.4988492877984636,-5.332474041215706,5.432569307459257
"r_tna_trimmed[lima.reticulata,Intercept]",0.05742787793737441,2.4481305935082434,-4.879477894050454,5.358738419127529
"r_tna_trimmed[pterotrigonia.thoracica,Intercept]",-0.01966364399094819,2.399688489559899,-5.081416492319622,4.976516865077865
"r_tna_trimmed[trachycardium.eufaulensis,Intercept]",0.04945785641862495,2.4748966720609107,-5.083531503398884,5.296689533592671
"r_tna_trimmed[anomia.argentaria,Intercept]",0.008502893765450232,2.5429130731089047,-5.333261585084886,5.467099048141059
"r_tna_trimmed[bathytormus.pteropsis,Intercept]",0.03814479594578981,2.4563441401130963,-5.206220489792326,5.41429145260301
"r_tna_trimmed[caestocorbula.crassaplica,Intercept]",0.023002631232607977,2.4903144586751504,-5.2064717431417025,5.2572095611168885
"r_tna_trimmed[corbula.monmouthensis,Intercept]",0.03031707578558029,2.4066015316513294,-5.017726582958619,5.299154069174997
"r_tna_trimmed[liothyris.carolinensis,Intercept]",0.03550557066183499,2.5254336434103344,-5.276506229731538,5.485199164343612
